iter	MultiClass
116	0.6936015745
117	0.6929651237
118	0.6923839042
119	0.6917720659
120	0.6915481712
121	0.6907644061
122	0.6906850953
123	0.690256442
124	0.6883598794
125	0.6870268449
126	0.6864585947
127	0.6855902627
128	0.6827436077
129	0.6815011676
130	0.6810915813
131	0.6808983444
132	0.6798044575
133	0.6792138779
134	0.6780700251
135	0.6766388518
136	0.6751490926
137	0.6745367572
138	0.6731013927
139	0.6723742883
140	0.6720317875
141	0.6707897545
142	0.6701846076
143	0.6700249069
144	0.6688081817
145	0.6685381417
146	0.6681640205
147	0.6680617456
148	0.6657105191
149	0.6653287055
150	0.6650762477
151	0.6649453267
152	0.6645032561
153	0.664079548
154	0.663269083
155	0.6621546029
156	0.6600839111
157	0.6595239431
158	0.6592212812
159	0.6585570934
160	0.6581251498
161	0.6576506547
162	0.6568206978
163	0.6565682313
164	0.6561627864
165	0.6557023261
166	0.6550356313
167	0.6537687255
168	0.6529678657
169	0.6525807668
170	0.6522567666
171	0.651734979
172	0.6510725931
173	0.6504128291
174	0.6501272561
175	0.6494263147
176	0.6486195438
177	0.6481150879
178	0.6478223195
179	0.6460706565
180	0.6456677549
181	0.6448923798
182	0.644690285
183	0.6441711034
184	0.642990141
185	0.641346027
186	0.6411729864
187	0.6404853288
188	0.6403109361
189	0.6396359475
190	0.6393673218
191	0.6389741952
192	0.6387194498
193	0.6383601704
194	0.6380709057
195	0.6369907671
196	0.6362793626
197	0.6355568636
198	0.6348142766
199	0.6343242644
200	0.633809871
201	0.6328232339
202	0.6322482164
203	0.6320941806
204	0.6313207774
205	0.6306454856
206	0.630350947
207	0.629181725
208	0.6278493365
209	0.6276584785
210	0.6274366618
211	0.6271816813
212	0.6268897883
213	0.6255592761
214	0.6250239108
215	0.6248982442
216	0.6243180975
217	0.6240621619
218	0.6237410632
219	0.6231348722
220	0.6228706154
221	0.6224991221
222	0.621653569
223	0.6209589845
224	0.620756064
225	0.6203505258
226	0.6199223455
227	0.6194840559
228	0.619159362
229	0.6188895261
230	0.6185049564
231	0.6181112879
232	0.6176960668
233	0.6168671693
234	0.6167674758
235	0.616700107
236	0.6164277583
237	0.6162884238
238	0.6158132966
239	0.6151545474
240	0.6142474629
241	0.6138487886
242	0.6136249547
243	0.6127466272
244	0.6122292185
245	0.6119675794
246	0.6115546741
247	0.6110049403
248	0.610523286
249	0.610381109
250	0.608204665
251	0.6076564302
252	0.6072160764
253	0.6068651008
254	0.6066855923
255	0.6062055387
256	0.6058219491
257	0.6056038364
258	0.6052255228
259	0.6048000596
260	0.6046758312
261	0.603982287
262	0.6035882012
263	0.6026209969
264	0.6020128607
265	0.6015012749
266	0.6012947267
267	0.6009258652
268	0.6008668259
269	0.6006535851
270	0.6002977337
271	0.6000736031
272	0.5998733828
273	0.5995182041
274	0.5994736349
275	0.5986718493
276	0.5979232013
277	0.5978082659
278	0.5975292127
279	0.5974054639
280	0.5970212366
281	0.5964326868
282	0.5960593324
283	0.5955824025
284	0.5954250712
285	0.5953445136
286	0.5943796334
287	0.5941488809
288	0.5936213779
289	0.5935008331
290	0.5927958305
291	0.592338619
292	0.5914824398
293	0.591205231
294	0.5910190136
295	0.5909190743
296	0.590413207
297	0.5902515819
298	0.5901397573
299	0.5899217742
300	0.5895630201
301	0.5892391066
302	0.5890645083
303	0.5886880966
304	0.5885860706
305	0.5883589885
306	0.5880016293
307	0.5873209393
308	0.5869145757
309	0.5865766202
310	0.5862747682
311	0.5856362971
312	0.5855334525
313	0.5854317134
314	0.5853195463
315	0.5851680536
316	0.5847606995
317	0.5845919631
318	0.5842780773
319	0.5841546513
320	0.5833583036
321	0.5828390371
322	0.5822150506
323	0.5812197933
324	0.5811061758
325	0.5808072292
326	0.5806314977
327	0.5802424874
328	0.5801846538
329	0.5798425087
330	0.5794753593
331	0.5790344519
332	0.5788558047
333	0.5787367773
334	0.5775327147
335	0.577056793
336	0.5768554205
337	0.5766212046
338	0.5765402148
339	0.5761826519
340	0.5760377107
341	0.5758854406
342	0.5756088662
343	0.5755702776
344	0.5752837268
345	0.575030566
346	0.5746968249
347	0.5745405212
348	0.5742047268
349	0.5738685819
350	0.5735845345
351	0.5729986983
352	0.5727439553
353	0.5717311254
354	0.571380669
355	0.5711536484
356	0.5710455113
357	0.5709029999
358	0.5706585552
359	0.5702606116
360	0.5700738447
361	0.5699508574
362	0.5695360728
363	0.5692565683
364	0.5690121686
365	0.568678961
366	0.5680977651
367	0.5679314699
368	0.5673667323
369	0.5670012099
370	0.5667116219
371	0.5665756205
372	0.5663575128
373	0.5659725055
374	0.565527136
375	0.5654206319
376	0.5650814498
377	0.5645422575
378	0.5641947629
379	0.5638940675
380	0.5636400542
381	0.56337714
382	0.5632024832
383	0.5629090566
384	0.5626436514
385	0.5622626425
386	0.5622109828
387	0.5615104258
388	0.5612834087
389	0.5608140861
390	0.5606503128
391	0.5599651161
392	0.5595189009
393	0.5594839242
394	0.5592635787
395	0.5592001037
396	0.5583465617
397	0.5581675023
398	0.5576224048
399	0.5573909695
400	0.5571770952
401	0.5568002908
402	0.5565048736
403	0.5560664503
404	0.55552519
405	0.5552709232
406	0.5548752457
407	0.5546579793
408	0.5544832577
409	0.5543202136
410	0.5540369763
411	0.5539306803
412	0.5538264581
413	0.5537266199
414	0.5528691504
415	0.5526444702
416	0.5524707542
417	0.5517768061
418	0.5516553338
419	0.551137257
420	0.5509826767
421	0.5507318986
422	0.5504200096
423	0.5501142586
424	0.5495111563
425	0.5493882131
426	0.5490621746
427	0.5488304874
428	0.5486603772
429	0.5486118655
430	0.5484615743
431	0.5478165045
432	0.5474995681
433	0.5470019289
434	0.5468152904
435	0.5464816496
436	0.5461692449
437	0.5459280557
438	0.5454118613
439	0.5449152608
440	0.5448487812
441	0.5446414852
442	0.5444110395
443	0.5440609782
444	0.5435555563
445	0.5432127619
446	0.5415628153
447	0.5413956837
448	0.5413353472
449	0.5411477475
450	0.5407840223
451	0.5398649459
452	0.5398140038
453	0.5396876274
454	0.5395039609
455	0.5392554535
456	0.5388862083
457	0.5385777783
458	0.5384465613
459	0.5382252353
460	0.5380277883
461	0.5375353847
462	0.5374516043
463	0.5372724121
464	0.5368638241
465	0.5366777165
466	0.536566392
467	0.5364227699
468	0.5362830612
469	0.5361119352
470	0.5357535089
471	0.5357193487
472	0.5354800015
473	0.5353756145
474	0.535139179
475	0.534230185
476	0.5338731922
477	0.5335917234
478	0.5333904922
479	0.5331280019
480	0.5325717687
481	0.5324442739
482	0.5320628892
483	0.5319150846
484	0.5316487342
485	0.5314458736
486	0.5311008892
487	0.5306260251
488	0.5303315082
489	0.5301358342
490	0.53006749
491	0.5294438187
492	0.5293911909
493	0.5291644255
494	0.5284960875
495	0.5279178836
496	0.527790324
497	0.5272338378
498	0.5270031593
499	0.5267187193
500	0.5262736405
501	0.5259440598
502	0.5258270534
503	0.5257230828
504	0.5255717998
505	0.5250943585
506	0.5248812441
507	0.5247885386
508	0.5238947562
509	0.523130226
510	0.5229923962
511	0.5228479951
512	0.5226763315
513	0.5225667229
514	0.5225112667
515	0.5224157997
516	0.5222112018
